Compound_name,smiles,Molecular_Formula,CAS,InChI_Key,InChI,PubChemID,ID,aliphatic_carboxylic_acids,aliphatic_hydroxyl_groups,aliphatic_hydroxyl_groups_excluding_tert-OH,N_functional_groups_attached_to_aromatics,Aromatic_carboxylic_acide,aromatic_nitrogens,aromatic_amines,aromatic_hydroxyl_groups,carboxylic_acids,carbonyl_O,"carbonyl_O,_excluding_COOH",thiocarbonyl,C(OH)CCN-Ctert-alkyl_or_C(OH)CCNcyclic,Imines,Tertiary_amines,Secondary_amines,Primary_amines,hydroxylamine_groups,XCCNR_groups,"tert-alicyclic_amines_(no_heteroatoms,_not_quinine-like_bridged_N)",H-pyrrole_nitrogens,thiol_groups,aldehydes,alkyl_carbamates_(subject_to_hydrolysis),alkyl_halides,allylic_oxidation_sites_excluding_steroid_dienone,amides,amidine_groups,anilines,aryl_methyl_sites_for_hydroxylation,azide_groups,azo_groups,barbiturate_groups,benzene_rings,benzodiazepines_with_no_additional_fused_rings,Bicyclic,diazo_groups,dihydropyridines,epoxide_rings,esters,ether_oxygens_(including_phenoxy),furan_rings,guanidine_groups,halogens,hydrazine_groups,hydrazone_groups,imidazole_rings,imide_groups,isocyanates,isothiocyanates,ketones,"ketones_excluding_diaryl,_a,b-unsat._dienones,_heteroatom_on_Calpha",beta_lactams,cyclic_esters_(lactones),methoxy_groups_-OCH3,morpholine_rings,nitriles,nitro_groups,nitro_benzene_ring_substituents,non-ortho_nitro_benzene_ring_substituents,"nitroso_groups,_excluding_NO2",oxazole_rings,oxime_groups,para-hydroxylation_sites,phenols,phenolic_OH_excluding_ortho_intramolecular_Hbond_substituents,phosphoric_acid_groups,phosphoric_ester_groups,piperdine_rings,piperzine_rings,primary_amides,primary_sulfonamides,pyridine_rings,quarternary_nitrogens,thioether,sulfonamides,sulfone_groups,terminal_acetylenes,tetrazole_rings,thiazole_rings,thiocyanates,thiophene_rings,unbranched_alkanes_of_at_least_4_members_(excludes_halogenated_alkanes),urea_groups
1-Chloro-5-methylhexane,CC(C)CCCCCl,C7H15Cl,C33240561,YESHSLGUAPTMLI-UHFFFAOYSA-N,"InChI=1S/C7H15Cl/c1-7(2)5-3-4-6-8/h7H,3-6H2,1-2H3",118419,89824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2H-Benzo[d][1,2,3]triazol-5-amine",C1=CC2=NNN=C2C=C1N,C6H6N4,C3325119,XSFHICWNEBCMNN-UHFFFAOYSA-N,"InChI=1S/C6H6N4/c7-4-1-2-5-6(3-4)9-10-8-5/h1-3H,7H2,(H,8,9,10)",76844,56106,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,5-Dimethoxy-2,5-dihydrofuran",COC1C=CC(O1)OC,C6H10O3,C332774,WXFWXFIWDGJRSC-UHFFFAOYSA-N,"InChI=1S/C6H10O3/c1-7-5-3-4-6(8-2)9-5/h3-6H,1-2H3",78974,58016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Allyltoluene,CC1=CC=C(C=C1)CC=C,C10H12,C3333139,WAEOXIOXMKNFLQ-UHFFFAOYSA-N,"InChI=1S/C10H12/c1-3-4-10-7-5-9(2)6-8-10/h3,5-8H,1,4H2,2H3",76851,56113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,5-Dibromo-4-hydroxybenzoic acid",C1=C(C=C(C(=C1Br)O)Br)C(=O)O,C7H4Br2O3,C3337620,PHWAJJWKNLWZGJ-UHFFFAOYSA-N,"InChI=1S/C7H4Br2O3/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,10H,(H,11,12)",76857,56118,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Phthalimidopropionic acid,C1=CC=C2C(=C1)C(=O)N(C2=O)CCC(=O)O,C11H9NO4,C3339739,DXXHRZUOTPMGEH-UHFFFAOYSA-N,"InChI=1S/C11H9NO4/c13-9(14)5-6-12-10(15)7-3-1-2-4-8(7)11(12)16/h1-4H,5-6H2,(H,13,14)",76859,56119,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Chloro-5-fluorotoluene,CC1=C(C=CC(=C1)F)Cl,C7H6ClF,C33406961,NIOGDCDTKPQEAT-UHFFFAOYSA-N,"InChI=1S/C7H6ClF/c1-5-4-6(9)2-3-7(5)8/h2-4H,1H3",118475,89868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9H-Purine, 8-(methylthio)-",CSC1=NC2=NC=NC=C2N1,C6H6N4S,C33426538,OOUSHFSJKWPYDZ-UHFFFAOYSA-N,"InChI=1S/C6H6N4S/c1-11-6-9-4-2-7-3-8-5(4)10-6/h2-3H,1H3,(H,7,8,9,10)",95217,71802,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1-Cyclopropyl-1-(4-methylphenyl)ethanol,CC1=CC=C(C=C1)C(C)(C2CC2)O,C12H16O,C33446274,IJYCFWNBUFSFNP-UHFFFAOYSA-N,"InChI=1S/C12H16O/c1-9-3-5-10(6-4-9)12(2,13)11-7-8-11/h3-6,11,13H,7-8H2,1-2H3",98258,74462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Dichloro-2-(methoxymethyl)benzene",COCC1=C(C=CC=C1Cl)Cl,C8H8Cl2O,C33486907,QBKBHXIQLAMKOB-UHFFFAOYSA-N,"InChI=1S/C8H8Cl2O/c1-11-5-6-7(9)3-2-4-8(6)10/h2-4H,5H2,1H3",118490,89879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethyl 2,4-dimethylbenzoate",CCOC(=O)C1=C(C=C(C=C1)C)C,C11H14O2,C33499422,RJYPOWRKMKNFHH-UHFFFAOYSA-N,"InChI=1S/C11H14O2/c1-4-13-11(12)10-6-5-8(2)7-9(10)3/h5-7H,4H2,1-3H3",118492,89881,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heptafluoro-2,3,3-trichlorobutane",C(C(C(F)(F)F)(Cl)Cl)(C(F)(F)F)(F)Cl,C4Cl3F7,C335444,ZPGMWBFCBUKITA-UHFFFAOYSA-N,"InChI=1S/C4Cl3F7/c5-1(6,3(9,10)11)2(7,8)4(12,13)14",78977,58019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Allyl-6-methylphenol,CC1=C(C(=CC=C1)CC=C)O,C10H12O,C3354583,WREVCRYZAWNLRZ-UHFFFAOYSA-N,"InChI=1S/C10H12O/c1-3-5-9-7-4-6-8(2)10(9)11/h3-4,6-7,11H,1,5H2,2H3",76883,56140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perfluoroheptyl iodide,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)I)(F)F)(F)F)(F)F,C7F15I,C335580,AHUMDLIBMIYQMU-UHFFFAOYSA-N,"InChI=1S/C7F15I/c8-1(9,2(10,11)4(14,15)6(18,19)20)3(12,13)5(16,17)7(21,22)23",67633,48156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,2,2-Trichloro-N-(2,3-dichlorophenyl)acetamide",C1=CC(=C(C(=C1)Cl)Cl)NC(=O)C(Cl)(Cl)Cl,C8H4Cl5NO,C33560531,RSVQDLQEPJXEAV-UHFFFAOYSA-N,"InChI=1S/C8H4Cl5NO/c9-4-2-1-3-5(6(4)10)14-7(15)8(11,12)13/h1-3H,(H,14,15)",99283,75369,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-(2-Hydroxyethyl)-2-oxazolidinone,C1COC(=O)N1CCO,C5H9NO3,C3356885,GOXNUYXRIQJIEF-UHFFFAOYSA-N,"InChI=1S/C5H9NO3/c7-3-1-6-2-4-9-5(6)8/h7H,1-4H2",76887,56144,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Acetyl-5-bromo-1H-indol-3-yl acetate,CC(=O)N1C=C(C2=C1C=CC(=C2)Br)OC(=O)C,C12H10BrNO3,C33588544,XJRIDJAGAYGJCK-UHFFFAOYSA-N,"InChI=1S/C12H10BrNO3/c1-7(15)14-6-12(17-8(2)16)10-5-9(13)3-4-11(10)14/h3-6H,1-2H3",118505,89889,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H,1H,7H-Dodecafluoro-1-heptanol",C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C7H4F12O,C335999,BYKNGMLDSIEFFG-UHFFFAOYSA-N,"InChI=1S/C7H4F12O/c8-2(9)4(12,13)6(16,17)7(18,19)5(14,15)3(10,11)1-20/h2,20H,1H2",67639,48161,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Morpholinepropanoic acid, methyl ester",COC(=O)CCN1CCOCC1,C8H15NO3,C33611437,YMSLLIGKMYXCPK-UHFFFAOYSA-N,"InChI=1S/C8H15NO3/c1-11-8(10)2-3-9-4-6-12-7-5-9/h2-7H2,1H3",101373,77176,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1,2,2-Tetrachloro-3,3,4,4-tetrafluorocyclobutane",C1(C(C(C1(Cl)Cl)(Cl)Cl)(F)F)(F)F,C4Cl4F4,C336505,ZWDCJLJWIQMWBE-UHFFFAOYSA-N,"InChI=1S/C4Cl4F4/c5-1(6)2(7,8)4(11,12)3(1,9)10",67642,48164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4,4-Diamino-p-terphenyl",C1=CC(=CC=C1C2=CC=C(C=C2)N)C3=CC=C(C=C3)N,C18H16N2,C3365853,QBSMHWVGUPQNJJ-UHFFFAOYSA-N,"InChI=1S/C18H16N2/c19-17-9-5-15(6-10-17)13-1-2-14(4-3-13)16-7-11-18(20)12-8-16/h1-12H,19-20H2",104949,80009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,2,2-Trichloro-n-(2,5-dichlorophenyl)acetamide",C1=CC(=C(C=C1Cl)NC(=O)C(Cl)(Cl)Cl)Cl,C8H4Cl5NO,C33715649,WKBFRYPEBOWXGM-UHFFFAOYSA-N,"InChI=1S/C8H4Cl5NO/c9-4-1-2-5(10)6(3-4)14-7(15)8(11,12)13/h1-3H,(H,14,15)",101333,77137,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-Di-tert-pentylbenzene",CCC(C)(C)C1=CC=C(C=C1)C(C)(C)CC,C16H26,C3373102,KNLFZJBLNQRLEL-UHFFFAOYSA-N,"InChI=1S/C16H26/c1-7-15(3,4)13-9-11-14(12-10-13)16(5,6)8-2/h9-12H,7-8H2,1-6H3",76899,56156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-Dibenzoylbutane",C1=CC=C(C=C1)C(=O)CCCCC(=O)C2=CC=CC=C2,C18H18O2,C3375380,VRBLNWVVFVBNRK-UHFFFAOYSA-N,"InChI=1S/C18H18O2/c19-17(15-9-3-1-4-10-15)13-7-8-14-18(20)16-11-5-2-6-12-16/h1-6,9-12H,7-8,13-14H2",76903,56160,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5-Chloro-m-phenylenediamine,C1=C(C=C(C=C1N)Cl)N,C6H7ClN2,C33786899,VZNUCJOYPXKLTA-UHFFFAOYSA-N,"InChI=1S/C6H7ClN2/c7-4-1-5(8)3-6(9)2-4/h1-3H,8-9H2",73335,52978,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzenemethanamine, N-(1,1-dimethylethyl)-",CC(C)(C)NCC1=CC=CC=C1,C11H17N,C3378721,DLSOILHAKCBARI-UHFFFAOYSA-N,"InChI=1S/C11H17N/c1-11(2,3)12-9-10-7-5-4-6-8-10/h4-8,12H,9H2,1-3H3",76908,56165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Heneicosanol,CCCCCCCCCCC(CCCCCCCCCC)O,C21H44O,C3381268,BCNCKKYOXRHQGT-UHFFFAOYSA-N,"InChI=1S/C21H44O/c1-3-5-7-9-11-13-15-17-19-21(22)20-18-16-14-12-10-8-6-4-2/h21-22H,3-20H2,1-2H3",76913,56170,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethyl isodehydroacetate,CCOC(=O)C1=C(OC(=O)C=C1C)C,C10H12O4,C3385340,FBPWNVQUVXSXKS-UHFFFAOYSA-N,"InChI=1S/C10H12O4/c1-4-13-10(12)9-6(2)5-8(11)14-7(9)3/h5H,4H2,1-3H3",76918,56174,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzimidazole, 4,5,7-trichloro-2-(trifluoromethyl)-",C1=C(C2=C(C(=C1Cl)Cl)NC(=N2)C(F)(F)F)Cl,C8H2Cl3F3N2,C3393597,ZVFDYQZOXSAMSR-UHFFFAOYSA-N,"InChI=1S/C8H2Cl3F3N2/c9-2-1-3(10)5-6(4(2)11)16-7(15-5)8(12,13)14/h1H,(H,15,16)",76927,56183,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Nitrobenzanilide,C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)[N+](=O)[O-],C13H10N2O3,C3393962,GMGQGZYFQSCZCW-UHFFFAOYSA-N,"InChI=1S/C13H10N2O3/c16-13(10-4-2-1-3-5-10)14-11-6-8-12(9-7-11)15(17)18/h1-9H,(H,14,16)",76930,56186,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-(dimethoxymethyl)-4-methyl-",CC1=CC=C(C=C1)C(OC)OC,C10H14O2,C3395833,MKZGLAOLSFUPRT-UHFFFAOYSA-N,"InChI=1S/C10H14O2/c1-8-4-6-9(7-5-8)10(11-2)12-3/h4-7,10H,1-3H3",76932,56187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Methylhex-2-ene,CCC(C)C=CC,C7H14,C3404555,MBNDKEPQUVZHCM-UHFFFAOYSA-N,"InChI=1S/C7H14/c1-4-6-7(3)5-2/h4,6-7H,5H2,1-3H3",103002,78490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Ethyl-3-methyl-1-pentene,CCC(C)C(=C)CC,C8H16,C3404679,YXLCVBVDFKWWRW-UHFFFAOYSA-N,"InChI=1S/C8H16/c1-5-7(3)8(4)6-2/h8H,3,5-6H2,1-2,4H3",103004,78492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bis(phenylsulfonyl)methane,C1=CC=C(C=C1)S(=O)(=O)CS(=O)(=O)C2=CC=CC=C2,C13H12O4S2,C3406028,QCHNSJNRFSOCLJ-UHFFFAOYSA-N,"InChI=1S/C13H12O4S2/c14-18(15,12-7-3-1-4-8-12)11-19(16,17)13-9-5-2-6-10-13/h1-10H,11H2",76948,56203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1,2-Ethanediamine, N-(2-aminoethyl)-N,N-dimethyl-",CNCCN(C)CCN,C6H17N3,C34066961,BYWDOHJOAPKMOF-UHFFFAOYSA-N,"InChI=1S/C6H17N3/c1-8-4-6-9(2)5-3-7/h8H,3-7H2,1-2H3",118594,89966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-(3-Methyl-1-triazeno)imidazole-4-carboxamide,CN=NNC1=C(NC=N1)C(=O)N,C5H8N6O,C3413727,MVBPAIHFZZKRGD-UHFFFAOYSA-N,"InChI=1S/C5H8N6O/c1-7-11-10-5-3(4(6)12)8-2-9-5/h2H,1H3,(H2,6,12)(H,7,10)(H,8,9)",76953,56208,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5-(3-Ethyl-1-triazenyl)imidazole-4-carboxamide,CCN=NNC1=C(NC=N1)C(=O)N,C6H10N6O,C3413738,IZFBCYAIRQMECD-UHFFFAOYSA-N,"InChI=1S/C6H10N6O/c1-2-10-12-11-6-4(5(7)13)8-3-9-6/h3H,2H2,1H3,(H2,7,13)(H,8,9)(H,10,11)",101270,77078,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,5-Dichlorobenzyl alcohol",C1=CC(=C(C=C1Cl)CO)Cl,C7H6Cl2O,C34145056,LCEIGNVIDJNUGF-UHFFFAOYSA-N,"InChI=1S/C7H6Cl2O/c8-6-1-2-7(9)5(3-6)4-10/h1-3,10H,4H2",118604,89974,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,5-Dichloro-4-hydroxybenzophenone",C1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)Cl)O)Cl,C13H8Cl2O2,C34183067,HPTDNMHBDPOVLZ-UHFFFAOYSA-N,"InChI=1S/C13H8Cl2O2/c14-10-6-9(7-11(15)13(10)17)12(16)8-4-2-1-3-5-8/h1-7,17H",118611,89980,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
